Source,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,e_pmRA,e_pmDE,Gmag,BPmag,RPmag
4689646997787292416,6.49286739709,-71.93302089515,0.3321,4.950,-2.722,0.315,0.343,19.624065,20.345295,19.016277
4689646997787292800,6.48478497755,-71.93426404351,0.4018,5.344,-2.439,0.184,0.202,18.838694,19.232230,18.300953
4689646997787293440,6.47417390739,-71.93448023232,0.3220,5.424,-2.132,0.271,0.280,18.795458,18.829004,17.916590
4689646997787294464,6.47623167494,-71.93952223140,-1.1362,4.518,-2.688,0.888,0.675,19.989466,,
4689646997787295488,6.46222031217,-71.94079400236,0.2935,4.885,-2.163,0.084,0.095,17.463842,17.730950,16.937231
4689646997787296512,6.46252676557,-71.94280599842,0.0277,5.554,-2.423,0.096,0.107,17.803630,17.833391,17.081480
4689646997787297280,6.46608747408,-71.94538563546,0.2139,5.010,-2.414,0.014,0.014,13.387761,13.941622,12.670693
4689647027840635648,6.52929309586,-71.93889362897,0.0920,4.878,-2.522,0.197,0.204,18.850584,19.205206,18.310701
4689647027840636928,6.54104098633,-71.93618328676,-0.4045,12.908,0.245,0.340,0.459,19.671282,20.061453,19.130320
4689647027840637568,6.55095122235,-71.93419198674,0.8438,5.036,-2.113,0.338,0.346,19.582079,20.056644,18.960844
4689647027840640512,6.56000689572,-71.92772355344,0.0341,5.431,-3.241,0.338,0.375,19.716870,20.180500,19.118174
4689647027840846336,6.56716853221,-71.93545698336,-0.1619,-0.022,-2.164,0.488,0.561,20.095530,20.590204,19.591345
4689647027841001216,6.53982951609,-71.94011751779,0.1383,5.026,-2.996,0.529,0.656,20.063314,20.576712,19.448246
4689647027841580032,6.52459046799,-71.93920152367,0.3575,4.648,-2.324,0.083,0.084,17.352783,17.644773,16.873913
4689647027841580160,6.51570926304,-71.94048826929,0.2496,5.167,-2.514,0.089,0.090,17.518633,17.814575,17.069601
4689647027841586944,6.54493340021,-71.93504008373,0.1130,5.448,-2.406,0.107,0.136,17.718077,18.005308,17.258495
4689647027841587072,6.54748512609,-71.93682619833,0.3261,5.118,-2.122,0.113,0.138,17.898365,18.223673,17.440075
4689647027841587200,6.53876442302,-71.93422359162,0.1871,4.907,-2.553,0.117,0.138,18.003777,18.317198,17.506275
4689647027841589888,6.52789625650,-71.93418900465,0.2809,5.373,-2.404,0.067,0.069,16.754990,17.128277,16.141148
4689647027841590016,6.52992556304,-71.93559332257,0.2556,4.868,-2.206,0.133,0.139,18.240532,18.576052,17.754246
4689647027841590144,6.53423554927,-71.93626366319,0.0753,0.473,-1.123,0.202,0.226,18.955294,19.477856,18.351519
4689647027841591680,6.54294970945,-71.93190521928,0.1933,4.814,-2.278,0.132,0.157,18.205440,18.535294,17.684296
4689647027841597184,6.56716056758,-71.92649342998,0.3150,5.012,-2.133,0.106,0.118,17.919235,18.251612,17.452888
4689647027853961344,6.55806728618,-71.93443808009,0.2106,4.907,-2.174,0.102,0.106,17.713728,18.044436,17.264606
4689647027855986688,6.52014619720,-71.94557342816,-0.5373,5.890,-1.053,0.335,0.344,18.872398,18.802526,17.845590
4689647027855986944,6.52572738439,-71.94197901652,-0.5145,0.400,-1.263,0.356,0.365,19.602718,20.019648,19.026215
4689647027863660672,6.51790408376,-71.94027335149,0.1748,4.336,-1.794,0.385,0.396,19.836174,20.192606,19.123276
4689647027863865088,6.52559434674,-71.94100286938,-0.6744,5.569,-2.866,0.511,0.506,20.121904,,
4689647027863867392,6.54174781079,-71.93440535379,0.7506,4.741,-1.069,0.440,0.539,19.975040,20.285938,19.390236
4689647027863886720,6.51906460619,-71.93761054372,0.8541,5.263,-1.604,1.009,1.298,20.728611,20.265541,20.066970
